Machine_ID,Vibration_RMS,Temperature_C,Motor_Current_A,Hours_Since_Maintenance,Asset_Age_Days,Load_Percent,Pressure_bar,Sound_dB,Humidity_%,Vib_Temp_Interaction,Failure_Risk_Score,Failure
1,1.918,63.19,15.77,605,868,79.26,7.91,59.76,45.15,121.19841999999998,1,1
2,2.58,71.4,24.29,327,1288,99.66,7.67,73.61,54.31,184.21200000000002,0,0
3,2.581,45.43,15.21,500,3146,23.28,7.56,68.47,49.48,117.25483,2,0
4,1.805,82.27,22.24,693,402,39.59,8.26,71.81,65.43,148.49734999999998,2,0
5,1.961,51.94,19.83,34,422,67.82,4.06,76.15,64.95,101.85434,0,0
6,1.662,58.51,21.56,78,1123,53.22,6.35,66.94,40.64,97.24361999999999,0,0
7,2.135,59.53,22.65,662,2213,71.0,6.08,71.79,44.34,127.09655,2,0
8,2.787,58.62,29.2,408,2950,66.91,6.3,68.42,32.49,163.37393999999998,3,0
9,4.103,53.96,16.3,444,2066,83.04,5.85,77.67,51.04,221.39788,3,1
10,2.304,61.36,16.67,245,1816,25.67,5.1,72.5,56.04,141.37344,0,0
11,1.95,50.58,17.31,595,3182,55.25,4.73,71.87,35.78,98.631,2,0
12,3.044,46.9,13.44,465,651,88.8,6.5,66.16,34.68,142.7636,1,0
13,2.228,46.46,16.61,185,3294,49.02,7.11,75.83,44.73,103.51288000000001,1,0
14,2.317,69.2,24.28,467,1161,60.3,5.51,76.5,57.03,160.33640000000003,1,0
15,1.355,61.62,15.86,2,1029,21.73,5.32,67.94,84.09,83.4951,0,0
16,3.778,38.01,19.02,173,3481,37.93,5.04,73.39,80.33,143.60178,2,0
17,1.893,62.8,23.6,146,2368,57.09,4.88,74.9,51.91,118.8804,1,0
18,2.49,41.07,19.73,565,1593,51.92,5.74,83.26,60.58,102.2643,1,1
19,2.178,59.63,23.62,529,1225,77.17,6.68,74.02,60.78,129.87414,1,0
20,3.01,47.81,22.12,65,1628,68.95,7.7,72.35,48.87,143.9081,0,0
21,3.381,68.93,26.2,652,2895,90.42,4.97,71.71,77.13,233.05233,2,0
22,3.349,65.81,19.74,589,584,88.38,6.35,71.99,46.04,220.39769,1,0
23,2.311,62.49,21.39,313,661,39.3,7.31,75.95,53.49,144.41439,0,0
24,1.313,49.66,11.21,152,1132,21.41,4.3,67.35,79.88,65.20357999999999,0,0
25,4.644,58.98,22.38,302,1775,88.36,7.9,77.59,49.03,273.90312,1,1
26,2.898,43.84,24.54,424,2979,46.33,5.44,64.61,58.11,127.04832000000002,2,1
27,1.709,47.85,17.47,453,792,47.77,6.83,75.23,77.88,81.77565000000001,1,0
28,2.457,61.26,17.09,250,2876,32.67,5.57,76.88,48.01,150.51582,1,0
29,3.464,61.21,32.26,73,3315,75.44,6.8,76.54,82.89,212.03144,2,0
30,2.518,56.24,24.1,439,1606,42.41,7.85,73.53,41.2,141.61231999999998,1,0
31,2.812,64.71,20.15,507,3509,34.14,5.7,74.26,67.63,181.96451999999996,2,0
32,3.425,46.41,17.81,192,3265,60.27,7.3,70.5,33.3,158.95424999999997,1,0
33,3.575,65.75,14.98,460,2915,80.03,6.63,66.93,59.54,235.05625,3,1
34,1.591,45.78,20.98,409,1406,41.57,4.97,73.11,38.77,72.83598,1,0
35,3.836,71.23,26.18,360,1118,77.76,6.1,72.99,64.57,273.23828000000003,1,0
36,3.95,60.21,22.87,5,3158,56.96,5.82,77.3,63.93,237.82950000000002,2,0
37,2.797,63.66,12.49,221,1628,52.3,4.33,71.57,52.91,178.05702,0,0
38,1.916,50.05,18.17,269,144,48.76,6.54,72.77,80.87,95.8958,0,0
39,2.29,72.05,16.53,600,2626,31.65,6.61,73.54,79.03,164.9945,2,0
40,1.951,72.37,19.13,595,1286,46.61,6.94,74.84,70.42,141.19387,1,1
41,3.218,65.17,32.32,629,3417,90.34,8.12,77.17,69.58,209.71706,3,0
42,1.017,62.78,21.82,333,3125,28.17,6.93,66.89,33.75,63.84726,1,1
43,3.595,58.89,24.41,235,407,96.66,5.74,76.07,47.8,211.70955,1,0
44,3.083,43.36,18.68,359,3292,28.6,5.32,71.48,41.17,133.67888,1,0
45,1.72,62.95,22.53,570,3467,48.96,7.0,75.12,51.37,108.274,2,1
46,3.379,51.21,19.04,447,2768,68.5,6.65,79.87,36.0,173.03859,2,0
47,2.682,71.22,24.08,432,1026,87.03,6.35,61.7,47.5,191.01203999999998,1,0
48,2.091,62.1,17.51,312,2454,31.49,4.77,78.1,61.4,129.8511,1,0
49,2.683,56.14,15.7,501,3172,31.29,5.18,71.65,39.14,150.62362,2,0
50,1.879,60.74,25.57,624,2982,70.27,6.9,67.68,35.82,114.13046,2,0
51,2.167,63.56,9.57,480,1590,43.42,3.59,69.87,68.87,137.73452,1,0
52,2.894,60.65,19.85,290,2591,71.56,3.41,67.16,43.58,175.5211,1,0
53,2.814,57.85,24.59,604,1426,85.65,7.19,74.82,56.3,162.78990000000002,1,1
54,0.934,42.06,21.2,678,950,26.15,5.12,66.45,76.11,39.284040000000005,1,0
55,3.323,68.9,25.23,573,2465,87.56,6.94,78.48,50.82,228.9547,2,0
56,2.535,56.59,14.1,631,1717,23.01,7.62,75.65,35.42,143.45565000000002,1,0
57,2.959,82.65,21.91,191,843,91.91,5.2,73.47,73.19,244.56135000000003,1,1
58,3.063,60.91,25.41,303,2421,98.05,4.48,62.19,70.62,186.56733,1,0
59,4.138,60.76,27.04,179,1194,73.4,5.9,66.14,63.56,251.42487999999997,1,1
60,2.591,64.24,27.73,263,2157,98.74,5.67,71.81,59.59,166.44584,1,0
61,3.21,66.08,25.77,528,1338,85.76,6.33,72.3,71.37,212.11679999999998,1,0
62,2.433,45.55,18.62,487,3234,23.55,6.38,76.85,49.43,110.82314999999998,2,1
63,3.414,50.82,13.65,2,3109,20.3,6.1,57.93,48.13,173.49948,1,0
64,2.118,59.85,11.07,543,1745,21.66,5.77,68.25,64.51,126.7623,1,0
65,2.978,53.49,19.45,138,2601,56.15,7.33,76.53,39.15,159.29322000000002,1,0
66,2.645,64.1,22.76,133,674,69.87,7.0,70.54,64.83,169.5445,0,0
67,2.278,57.97,19.9,391,3640,58.52,5.87,69.76,77.69,132.05566,1,0
68,1.918,61.63,22.77,173,806,74.17,7.0,63.91,58.33,118.20634,0,1
69,2.591,67.0,18.03,693,3168,55.97,4.2,77.5,34.56,173.597,2,0
70,2.824,50.3,15.64,105,3092,23.41,7.01,69.86,66.46,142.04719999999998,1,0
71,2.005,42.28,22.74,109,675,38.09,5.91,77.47,77.81,84.7714,0,0
72,2.507,60.44,25.08,547,61,99.41,5.05,79.51,40.83,151.52308,1,1
73,3.338,48.73,18.76,206,2698,47.67,5.48,79.05,63.67,162.66074,1,0
74,1.419,39.05,16.99,514,3176,45.98,7.2,71.63,40.84,55.41195,2,1
75,1.487,53.48,22.32,490,2623,32.22,4.9,69.4,75.08,79.52476,2,0
76,1.169,62.88,25.64,136,231,98.97,6.98,68.95,43.91,73.50672,0,0
77,3.018,63.03,21.38,417,2366,38.44,6.94,82.2,64.62,190.22454,2,0
78,2.505,49.65,20.19,386,1447,71.75,6.25,71.12,62.41,124.37324999999998,0,1
79,2.891,52.72,14.07,68,3344,23.36,4.7,77.58,50.61,152.41352,1,0
80,2.171,62.71,18.15,550,2926,25.32,5.68,74.47,79.53,136.14341,2,0
81,3.63,55.53,28.51,617,2922,77.34,4.58,70.51,79.57,201.5739,4,0
82,2.487,63.83,17.24,681,1505,70.81,5.62,70.91,48.7,158.74521000000001,1,0
83,2.786,70.9,21.08,63,1195,74.41,4.92,78.19,49.14,197.52740000000003,0,0
84,2.612,39.1,26.01,128,3006,38.48,5.83,72.37,66.02,102.12920000000001,1,1
85,2.921,64.82,21.12,594,446,98.79,4.96,70.05,45.62,189.33921999999995,1,1
86,3.204,66.72,18.7,219,393,64.67,6.25,68.39,46.71,213.77088,0,0
87,1.677,59.25,16.63,450,254,97.56,7.84,73.49,31.13,99.36225,1,0
88,2.051,64.82,20.36,250,1881,33.13,7.27,69.44,35.17,132.94582,0,0
89,2.106,60.83,15.06,156,303,52.41,4.53,75.01,66.19,128.10798,0,0
90,2.391,70.12,13.14,449,2138,46.85,5.17,84.86,47.64,167.65692,2,0
91,2.251,63.75,17.06,147,635,80.41,7.33,74.68,34.47,143.50125,0,0
92,2.815,73.69,24.27,98,3254,79.81,7.14,81.31,81.16,207.43734999999998,1,0
93,3.326,59.61,13.58,381,1595,58.92,5.35,68.89,46.26,198.26286,0,0
94,1.494,41.03,9.74,139,368,21.29,5.13,75.24,41.5,61.29882,0,0
95,3.733,48.45,20.84,138,2541,34.02,5.94,78.88,58.73,180.86385,2,0
96,2.116,61.71,16.13,561,1255,24.02,3.54,78.94,75.69,130.57836,1,1
97,2.512,68.66,18.22,380,977,87.76,7.01,78.58,77.99,172.47392,0,0
98,2.708,52.87,18.02,390,2416,43.18,7.23,72.33,46.78,143.17196,1,0
99,2.504,67.28,26.09,103,3489,29.43,5.33,76.63,70.82,168.46912,1,0
100,3.549,52.31,26.05,115,3577,48.33,4.28,67.45,58.77,185.64819,2,0
101,1.219,56.68,16.53,281,1606,26.18,7.46,79.76,62.74,69.09292,0,0
102,2.294,65.11,28.21,279,3100,98.31,6.75,67.34,54.2,149.36234,2,0
103,2.216,44.76,18.34,325,787,45.2,6.8,78.35,39.75,99.18816000000001,0,0
104,3.82,59.76,17.52,96,3094,94.65,4.86,77.85,75.12,228.2832,2,0
105,3.276,78.93,15.34,646,3440,74.62,4.67,77.63,59.93,258.57468,3,0
106,2.983,50.24,17.14,261,1902,65.29,6.65,82.67,52.1,149.86592000000002,0,0
107,2.792,62.73,13.84,587,1923,58.04,7.31,77.54,67.14,175.14216,1,0
108,1.88,49.63,22.91,288,2072,74.99,4.89,65.32,53.41,93.3044,1,0
109,2.491,51.54,17.84,339,294,74.9,6.13,75.12,76.7,128.38614,0,0
110,3.012,40.43,19.72,80,3138,20.84,3.8,62.91,37.46,121.77516,1,0
111,3.292,69.1,25.8,487,2700,92.62,5.58,72.0,31.65,227.47719999999998,2,1
112,1.875,48.09,23.39,43,3178,49.44,5.69,69.84,61.32,90.16875,1,0
113,1.76,66.55,14.07,538,447,48.26,6.57,75.11,44.13,117.128,1,0
114,2.98,52.95,22.72,634,2934,52.53,3.5,68.23,36.5,157.791,2,0
115,3.66,59.78,17.26,260,1343,74.82,7.83,68.62,31.67,218.7948,1,0
116,1.451,60.22,23.35,639,2993,50.08,5.8,74.31,72.37,87.37922,2,0
117,2.997,43.56,26.01,503,3627,49.91,7.55,78.22,82.79,130.54932,2,0
118,1.745,53.64,21.36,1,3214,25.08,6.59,71.92,63.87,93.60180000000001,1,0
119,3.066,58.64,20.44,146,3344,53.33,7.06,83.99,72.49,179.79023999999998,1,0
120,2.067,63.34,18.58,461,441,31.96,8.24,70.31,76.12,130.92378000000002,1,0
121,2.617,53.45,16.05,505,1219,88.45,5.45,75.61,74.3,139.87865,1,0
122,2.478,48.28,11.26,67,1089,46.76,6.13,73.87,47.97,119.63784000000001,0,0
123,3.734,67.38,25.47,492,1889,96.87,5.28,70.89,30.13,251.59691999999998,2,1
124,3.038,71.02,28.52,583,3563,74.76,6.12,78.92,64.55,215.75875999999997,3,0
125,2.158,54.12,17.83,66,2512,80.49,7.17,67.6,82.12,116.79095999999998,1,0
126,3.918,52.52,23.69,633,2002,95.82,7.81,62.29,78.81,205.77336000000003,3,1
127,2.945,52.31,21.22,383,2944,39.11,5.43,71.7,30.26,154.05295,1,0
128,2.611,50.07,17.09,443,668,65.38,4.71,70.93,79.73,130.73277000000002,1,0
129,1.665,55.08,16.16,36,2421,23.26,5.82,77.2,30.6,91.7082,1,0
130,2.6,45.05,19.83,441,1851,28.06,4.76,65.96,59.23,117.13,1,0
131,3.282,63.68,18.64,327,765,49.33,5.3,75.07,76.9,208.99776,0,0
132,2.763,60.45,22.53,267,2367,74.6,7.05,74.28,52.88,167.02335,1,0
133,3.248,69.1,19.93,561,3072,86.54,6.95,74.05,67.61,224.4368,2,1
134,1.851,35.01,19.55,179,3028,40.51,6.91,77.17,42.79,64.80350999999999,1,0
135,2.663,44.65,21.68,43,3082,79.93,5.89,72.11,83.36,118.90294999999999,1,0
136,1.792,64.97,18.01,359,2970,37.94,7.09,72.19,32.42,116.42624,1,0
137,1.943,47.31,14.4,535,1727,20.48,5.72,74.23,64.77,91.92333,1,0
138,1.338,40.48,15.29,96,208,24.35,5.4,71.26,31.91,54.16224,0,0
139,3.232,57.52,19.07,708,3524,66.84,4.85,65.66,32.3,185.90464000000003,2,0
140,1.904,59.56,20.1,484,1671,59.77,3.59,69.91,44.87,113.40224,1,1
141,2.229,54.75,17.61,672,2320,41.63,4.04,70.79,30.84,122.03775,2,0
142,0.887,56.22,11.22,338,104,20.52,5.96,68.8,41.4,49.86714,0,0
143,3.031,59.78,14.34,88,3247,65.44,5.07,70.78,38.47,181.19318,1,1
144,2.238,61.87,27.72,127,3245,85.41,4.38,72.98,80.16,138.46506,1,0
145,2.446,63.92,21.67,360,3390,25.48,5.25,70.79,32.28,156.34832000000003,1,0
146,2.306,59.63,17.54,423,659,78.92,6.62,76.38,63.65,137.50678000000002,1,0
147,3.065,58.73,25.18,528,3081,70.76,6.71,76.72,66.88,180.00744999999998,2,0
148,1.582,64.14,16.44,572,2292,58.35,6.05,59.96,75.16,101.46948,2,1
149,2.015,57.93,14.48,549,558,23.87,5.67,64.84,50.21,116.72895000000001,1,0
150,2.878,54.31,21.42,423,2095,93.89,5.79,60.28,39.99,156.30418,2,0
151,2.567,55.28,18.88,12,1754,58.2,6.84,70.83,36.7,141.90376,0,0
152,1.356,59.89,22.56,381,2294,51.97,5.81,70.09,37.84,81.21084,1,1
