Machine_ID,Machine_Type,Production_Line,Shift,Reading_Timestamp,Asset_Age_Days,Hours_Since_Maintenance,Load_Percent,Vibration_RMS,Temperature_C,Pressure_bar,Motor_Current_A,RPM,Sound_dB,Humidity_%,Failure
1,Conveyor,LINE01,Swing,2025-01-09 09:18:00,868,605,79.26,1.918,63.19,7.91,15.77,1648,59.76,45.15,1
2,Pump,LINE03,Swing,2025-03-01 22:00:00,1288,327,99.66,2.58,71.4,7.67,24.29,1373,73.61,54.31,0
3,RobotArm,LINE03,Day,2025-04-04 18:26:00,3146,500,23.28,2.581,45.43,7.56,15.21,1204,68.47,49.48,0
4,Conveyor,LINE01,Day,2025-02-24 05:18:00,402,693,39.59,1.805,82.27,8.26,22.24,1543,71.81,65.43,0
5,CNC,LINE01,Day,2025-01-19 16:19:00,422,34,67.82,1.961,51.94,4.06,19.83,1445,76.15,64.95,0
6,RobotArm,LINE02,Day,2025-04-26 17:23:00,1123,78,53.22,1.662,58.51,6.35,21.56,1420,66.94,40.64,0
7,Conveyor,LINE03,Day,2025-01-05 07:56:00,2213,662,71.0,2.135,59.53,6.08,22.65,1458,71.79,44.34,0
8,Conveyor,LINE03,Night,2025-03-24 06:19:00,2950,408,66.91,2.787,58.62,6.3,29.2,1613,68.42,32.49,0
9,CNC,LINE03,Day,2025-01-01 05:37:00,2066,444,83.04,4.103,53.96,5.85,16.3,1450,77.67,51.04,1
10,Compressor,LINE02,Day,2025-03-23 21:24:00,1816,245,25.67,2.304,61.36,5.1,16.67,1473,72.5,56.04,0
11,Pump,LINE01,Swing,2025-04-27 05:33:00,3182,595,55.25,1.95,50.58,4.73,17.31,1324,71.87,35.78,0
12,RobotArm,LINE02,Swing,2025-03-04 08:09:00,651,465,88.8,3.044,46.9,6.5,13.44,1567,66.16,34.68,0
13,Compressor,LINE01,Day,2025-01-02 00:21:00,3294,185,49.02,2.228,46.46,7.11,16.61,1556,75.83,44.73,0
14,Conveyor,LINE03,Day,2025-01-09 04:41:00,1161,467,60.3,2.317,69.2,5.51,24.28,1639,76.5,57.03,0
15,Pump,LINE01,Night,2025-01-28 23:22:00,1029,2,21.73,1.355,61.62,5.32,15.86,1208,67.94,84.09,0
16,CNC,LINE01,Day,2025-02-13 00:32:00,3481,173,37.93,3.778,38.01,5.04,19.02,1390,73.39,80.33,0
17,Compressor,LINE02,Swing,2025-04-17 00:52:00,2368,146,57.09,1.893,62.8,4.88,23.6,1656,74.9,51.91,0
18,CNC,LINE02,Swing,2025-01-06 23:26:00,1593,565,51.92,2.49,41.07,5.74,19.73,1564,83.26,60.58,1
19,Conveyor,LINE03,Day,2025-03-03 10:29:00,1225,529,77.17,2.178,59.63,6.68,23.62,1480,74.02,60.78,0
20,Compressor,LINE02,Swing,2025-03-30 19:49:00,1628,65,68.95,3.01,47.81,7.7,22.12,1488,72.35,48.87,0
21,Conveyor,LINE04,Day,2025-03-21 21:22:00,2895,652,90.42,3.381,68.93,4.97,26.2,1566,71.71,77.13,0
22,Pump,LINE04,Day,2025-04-06 15:08:00,584,589,88.38,3.349,65.81,6.35,19.74,1482,71.99,46.04,0
23,RobotArm,LINE04,Day,2025-03-24 04:38:00,661,313,39.3,2.311,62.49,7.31,21.39,1494,75.95,53.49,0
24,RobotArm,LINE03,Night,2025-01-04 18:59:00,1132,152,21.41,1.313,49.66,4.3,11.21,1452,67.35,79.88,0
25,Conveyor,LINE03,Day,2025-04-17 11:00:00,1775,302,88.36,4.644,58.98,7.9,22.38,1393,77.59,49.03,1
26,CNC,LINE03,Day,2025-03-01 20:43:00,2979,424,46.33,2.898,43.84,5.44,24.54,1384,64.61,58.11,1
27,Compressor,LINE02,Night,2025-03-01 02:43:00,792,453,47.77,1.709,47.85,6.83,17.47,1391,75.23,77.88,0
28,CNC,LINE02,Day,2025-04-19 02:55:00,2876,250,32.67,2.457,61.26,5.57,17.09,1385,76.88,48.01,0
29,CNC,LINE03,Night,2025-04-03 08:51:00,3315,73,75.44,3.464,61.21,6.8,32.26,1533,76.54,82.89,0
30,Conveyor,LINE01,Swing,2025-01-13 17:37:00,1606,439,42.41,2.518,56.24,7.85,24.1,1456,73.53,41.2,0
31,Conveyor,LINE01,Swing,2025-02-06 00:58:00,3509,507,34.14,2.812,64.71,5.7,20.15,1332,74.26,67.63,0
32,RobotArm,LINE04,Swing,2025-02-12 21:16:00,3265,192,60.27,3.425,46.41,7.3,17.81,1631,70.5,33.3,0
33,Pump,LINE01,Swing,2025-04-25 01:49:00,2915,460,80.03,3.575,65.75,6.63,14.98,1511,66.93,59.54,1
34,Pump,LINE02,Day,2025-01-15 06:20:00,1406,409,41.57,1.591,45.78,4.97,20.98,1609,73.11,38.77,0
35,Compressor,LINE03,Night,2025-02-27 00:47:00,1118,360,77.76,3.836,71.23,6.1,26.18,1678,72.99,64.57,0
36,CNC,LINE01,Night,2025-03-01 19:32:00,3158,5,56.96,3.95,60.21,5.82,22.87,1337,77.3,63.93,0
